[15Jun2025 00:17:40.445] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: TheForgottenNeo moved wrongly!
[15Jun2025 00:18:01.651] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: TheForgottenNeo moved wrongly!
[15Jun2025 00:18:12.844] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: TheForgottenNeo moved wrongly!
[15Jun2025 01:03:59.219] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: ElSilverSito[/127.164.157.169:57037] logged in with entity id 76434 at (78.46710479867973, 104.0, -478.385960652662)
[15Jun2025 01:03:59.248] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: ElSilverSito joined the game
[15Jun2025 01:04:00.468] [Server thread/INFO] [voicechat/]: [voicechat] Received secret request of ElSilverSito (18)
[15Jun2025 01:04:00.468] [Server thread/INFO] [voicechat/]: [voicechat] Sent secret to ElSilverSito
[15Jun2025 01:04:13.564] [VoiceChatPacketProcessingThread/INFO] [voicechat/]: [voicechat] Successfully authenticated player fe3ba8d5-cdc0-3e3c-8de3-6e5173bef42b
[15Jun2025 01:04:14.561] [VoiceChatPacketProcessingThread/INFO] [voicechat/]: [voicechat] Successfully validated connection of player fe3ba8d5-cdc0-3e3c-8de3-6e5173bef42b
[15Jun2025 01:04:14.562] [VoiceChatPacketProcessingThread/INFO] [voicechat/]: [voicechat] Player ElSilverSito (fe3ba8d5-cdc0-3e3c-8de3-6e5173bef42b) successfully connected to voice chat
[15Jun2025 01:08:04.565] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: ElSilverSito moved wrongly!
[15Jun2025 01:10:00.211] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=116, y=106, z=-488} BlockPos{x=115, y=106, z=-488}
[15Jun2025 01:10:00.265] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=116, y=106, z=-488} BlockPos{x=115, y=106, z=-488}
[15Jun2025 01:10:00.307] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=116, y=106, z=-487} BlockPos{x=115, y=106, z=-488}
[15Jun2025 01:10:00.353] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=116, y=106, z=-487} BlockPos{x=115, y=106, z=-488}
[15Jun2025 01:10:00.604] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=115, y=106, z=-486} BlockPos{x=116, y=106, z=-487}
[15Jun2025 01:10:00.802] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=114, y=107, z=-485} BlockPos{x=115, y=106, z=-486}
[15Jun2025 01:10:00.902] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=114, y=107, z=-485} BlockPos{x=115, y=106, z=-486}
[15Jun2025 01:10:00.924] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=114, y=107, z=-485} BlockPos{x=115, y=106, z=-486}
[15Jun2025 01:10:00.974] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=114, y=106, z=-486} BlockPos{x=115, y=106, z=-486}
[15Jun2025 01:10:01.300] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=114, y=106, z=-487} BlockPos{x=114, y=106, z=-486}
[15Jun2025 01:10:01.801] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=115, y=106, z=-487} BlockPos{x=114, y=106, z=-487}
